REGIÓN,PROVINCIA,Diócesis/localidad
NOA,JUJUY,Jujuy/Jujuy
NOA,SALTA,Arq. Salta
NOA,TUCUMÁN,Arq. Tucumán
NOA,SANTIAGO dE.,SdEstero/La Banda
NOA,SANTIAGO dE.,Añatuya/Los Juries
NOA,CATAMARCA,Catamarca/Cap
NOA,CATAMARCA,Cafayate/SMaria
CUYO,LA RIOJA,La Rioja /LR
CUYO,MENDOZA,San Rafael
CUYO,MENDOZA,Arq. Mendoza
CUYO,SAN JUAN,Arq. San Juan
CUYO,SAN LUIS,San Luis
NEA,CHACO,Arq. Resistencia
NEA,FORMOSA,Formosa
NEA,CORRIENTES,Goya
NEA,CORRIENTES,Sto Tomé/ Ituzaingó
NEA,CORRIENTES,Arq. Corrientes
NEA,MISIONES,Puerto Iguazú
NEA,MISIONES,Oberá
NEA,MISIONES,Posadas
NEA,SANTA FE,Reconquista
CENTRO,SANTA FE,Arq. Rosario
CENTRO,SANTA FE,Vdo Tuerto/S Eduardo
CENTRO,SANTA FE,Arq.Santa Fe/Sto Tome 
CENTRO,SANTA FE,Rafaela
CENTRO,ENTRE RIOS,Concordia
CENTRO,ENTRE RIOS,Gualeguaychú
CENTRO,ENTRE RIOS,Arq. Paraná
CENTRO,CÓRDOBA,Arq. Cordoba
CENTRO,CÓRDOBA,Rio Cuarto
CENTRO,CÓRDOBA,Cdel EJE
CENTRO,CÓRDOBA,Villa Maria
CENTRO,CÓRDOBA,Pre. Dean Funes
CENTRO,CÓRDOBA,San Francisco
BS AS,BUENOS AS,CABA V Devoto
BS AS,BUENOS AS,CABA V Flores
BS AS,BUENOS AS,CABA V Belgrano
BS AS,BUENOS AS,CABA Centro
BS AS,BUENOS AS,CABA Centro
BS AS,BUENOS AS,CABA Zona Mater
BS AS,BUENOS AS,San Isidro
BS AS,BUENOS AS,San Miguel
BS AS,BUENOS AS,Avellaneda-LanúsE
BS AS,BUENOS AS,San Martín/V Ballester
BS AS,BUENOS AS,Lomas de Zamora
BS AS,BUENOS AS,Morón
BS AS,BUENOS AS,Quilmes
Bs AS,BUENOS AS,Zarate Campana
R. PAM,BUENOS AS,San Nicolás
R. PAM,BUENOS AS,Arq. La Plata
R. PAM,BUENOS AS,Chascomus
R. PAM,BUENOS AS,Mar del Plata
R. PAM,BUENOS AS,Arq. Bahìa Blanca
R. PAM,BUENOS AS,Azul-RAUCH
R. PAM,BUENOS AS,9 de julio/Pehuajo
R. PAM,BUENOS AS,Mercedes Lujan
R. PAM,LA PAMPA,Santa Rosa
R. PAT,CHUBUT,Rawson
R. PAT,CHUBUT,Comodoro R
R. PAT,CHUBUT,Pre Esquel
R. PAT,NEUQUEN,Neuquen
R. PAT,RIO NEGRO,S C de Bariloche
R. PAT,RIO NEGRO,Viedma
R. PAT,RIO NEGRO,Alto valleRN/Cipolleti
R. PAT,SANTA CRUZ,Río Gallegos
R. PAT,T. DEL FUEGO,D Rio Gallegos/Usuhaia
